Date,Close,Upper_Band,Lower_Band
2017-07-10,20473,,
2017-07-11,20172,,
2017-07-12,19770,,
2017-07-13,20051,,
2017-07-14,19870,,
2017-07-17,20172,,
2017-07-18,20774,,
2017-07-19,21075,,
2017-07-20,21075,,
2017-07-21,21677,,
2017-07-24,21878,,
2017-07-25,21577,,
2017-07-26,21175,,
2017-07-27,21978,,
2017-07-28,22279,,
2017-07-31,24086,,
2017-08-01,23684,,
2017-08-02,22982,,
2017-08-03,22982,,
2017-08-04,22179,24035.704564533167,18955.195435466834
2017-08-07,22179,24090.83734383571,19070.66265616429
2017-08-08,22279,24123.03343968884,19249.166560311158
2017-08-09,21777,24050.307116097494,19522.592883902507
2017-08-10,21777,23984.538055055167,19760.961944944833
2017-08-11,22078,23873.32896952699,20092.971030473014
2017-08-14,22681,23816.948836557807,20400.25116344219
2017-08-16,22982,23847.727110353357,20590.272889646643
2017-08-17,22982,23883.27001406264,20745.429985937357
2017-08-18,22781,23867.080590127556,20932.219409872447
2017-08-21,22881,23901.005862858914,21018.694137141083
2017-08-22,23182,23973.341112783757,21076.75888721624
2017-08-23,23082,23996.648033829293,21203.951966170705
2017-08-24,23383,23975.516874616947,21445.883125383054
2017-08-25,23584,24063.85092359011,21518.14907640989
2017-08-28,23684,24169.709419558574,21552.790580441426
2017-08-29,23885,24122.61406564336,21579.78593435664
2017-08-30,24487,24315.087893530148,21467.61210646985
2017-08-31,24688,24611.957957477567,21341.342042522436
2017-09-01,24487,24821.257885312007,21282.542114687996
2017-09-04,23985,24908.320887559414,21376.079112440588
2017-09-05,25189,25218.958997724803,21366.441002275198
2017-09-06,25691,25603.979587125734,21322.620412874265
2017-09-07,25491,25817.928331057326,21480.071668942674
2017-09-08,25992,26081.27824353913,21638.22175646087
2017-09-11,26193,26353.45026629789,21777.54973370211
2017-09-12,26193,26618.96333988264,21863.236660117356
2017-09-13,25591,26744.829540835275,21998.270459164723
2017-09-14,26494,27005.707666600465,22088.592333399538
2017-09-15,27197,27348.801305898465,22187.098694101536
2017-09-18,27197,27621.415624632566,22346.084375367434
2017-09-19,27498,27921.423849507257,22477.67615049274
2017-09-20,28602,28404.892119423992,22546.207880576007
2017-09-21,28501,28782.76036389974,22680.139636100263
2017-09-22,27799,28950.95078816159,22933.44921183841
2017-09-25,27799,29067.983848037387,23227.916151962614
2017-09-26,28301,29235.656190523674,23501.843809476326
2017-09-27,28200,29388.92930465486,23719.870695345144
2017-09-28,28000,29481.463608878028,23958.536391121972
2017-09-29,28903,29656.296783085396,24225.303216914603
2017-10-10,29906,29885.737693075353,24587.962306924645
2017-10-11,30207,30267.2980037702,24708.2019962298
2017-10-12,32014,31111.230798472698,24496.569201527305
2017-10-13,30609,31405.40069974063,24714.19930025937
2017-10-16,31311,31821.518140872126,24829.981859127874
2017-10-17,31612,32233.62797491737,24959.77202508263
2017-10-18,29806,32267.527451377646,25287.17254862235
2017-10-19,29505,32134.396713365204,25811.703286634794
2017-10-20,30107,32125.83381437075,26181.56618562925
2017-10-23,30308,32173.891788940997,26444.608211059003
2017-10-24,30107,32158.771167388288,26750.728832611712
2017-10-25,29304,32089.86900710975,27000.230992890247
2017-10-26,28100,32113.371594808825,26926.528405191177
2017-10-27,28802,32106.928704913415,26963.071295086585
2017-10-30,28501,32060.13072481566,27080.069275184338
2017-10-31,28903,31996.108798257344,27254.491201742654
2017-11-01,30308,32029.39498543012,27421.905014569882
2017-11-02,30107,32014.069562340155,27627.930437659845
2017-11-03,30609,31993.633606880194,27909.266393119808
2017-11-06,30709,32048.134218333722,28035.365781666278
2017-11-07,30910,32133.957420472027,28049.942579527975
2017-11-08,31612,32314.561601394515,28009.838398605487
2017-11-09,30609,32074.87197739112,28109.02802260888
2017-11-10,30609,32074.87197739112,28109.02802260888
2017-11-13,30910,32010.536840669152,28133.26315933085
2017-11-14,31111,31913.299291541134,28180.400708458863
2017-11-15,30910,32003.480760464805,28200.619239535194
2017-11-16,31010,32098.264023334905,28256.335976665094
2017-11-17,31612,32277.04000465476,28228.05999534524
2017-11-20,32114,32532.154073516387,28153.54592648361
2017-11-21,32315,32808.84739880626,28097.652601193742
2017-11-22,31010,32841.8958021344,28235.204197865594
2017-11-23,30007,32652.48970049563,28615.310299504374
2017-11-24,29706,32560.81958311363,28797.380416886368
2017-11-27,29605,32399.28024012288,29069.31975987712
2017-11-28,29204,32348.783093646707,29149.91690635329
2017-11-29,29103,32441.96002683724,28936.239973162756
2017-11-30,27397,32835.16635023529,28272.03364976471
2017-12-01,28100,32959.164714340906,27897.135285659093
2017-12-04,28000,33041.04956023844,27544.35043976156
2017-12-05,28200,33041.27238393719,27273.12761606281
2017-12-06,27698,32958.872568732346,26964.12743126765
2017-12-07,27197,33013.06886094146,26568.73113905855
2017-12-08,27799,32966.06745840661,26334.732541593392
2017-12-11,28100,32838.9486644875,26180.8513355125
2017-12-12,28301,32650.776373606488,26088.023626393515
2017-12-13,28301,32469.494453053943,26008.405546946058
2017-12-14,28903,32256.596361458644,26010.603638541354
2017-12-15,28602,31885.526636273014,26080.673363726983
2017-12-18,26996,31357.017572220102,26097.3824277799
2017-12-19,27197,30574.441720078932,26368.158279921066
2017-12-20,26795,30123.592048286606,26397.507951713393
2017-12-21,25892,30012.251468780603,26097.348531219395
2017-12-22,25992,29871.16050699872,25867.039493001277
2017-12-26,25290,29793.031065756688,25513.66893424331
2017-12-27,28000,29613.56093006239,25572.739069937612
2017-12-28,27498,29404.175915744047,25621.624084255956
2018-01-02,29405,29683.40796565625,25543.19203434375
2018-01-03,29906,30007.460046918917,25399.73995308108
2018-01-04,31311,30682.2493789394,25056.050621060604
2018-01-05,31311,31231.34481810403,24818.055181895972
2018-01-08,32014,31903.073182311746,24577.926817688254
2018-01-09,31512,32360.403247369657,24552.096752630343
2018-01-10,30007,32517.14749165578,24616.15250834422
2018-01-11,28200,32519.913163788096,24623.386836211906
2018-01-12,28200,32516.57872879012,24616.62127120988
2018-01-15,29103,32561.606298710325,24651.793701289676
2018-01-16,28200,32527.864046126597,24615.2359538734
2018-01-17,26896,32512.74168828015,24459.75831171985
2018-01-18,27197,32508.10673827427,24484.49326172573
2018-01-19,27698,32505.155917646258,24537.54408235374
2018-01-22,27197,32492.50339584797,24590.396604152033
2018-01-23,27397,32409.4448246966,24823.955175303403
2018-01-24,27096,32333.676267275023,25010.12373272498
