Date,ma_005,ma_010,ma_020,ma_060,ma_120,ma_240
2017-07-10,,,,,,
2017-07-11,,,,,,
2017-07-12,,,,,,
2017-07-13,,,,,,
2017-07-14,20067.2,,,,,
2017-07-17,20007.0,,,,,
2017-07-18,20127.4,,,,,
2017-07-19,20388.4,,,,,
2017-07-20,20593.2,,,,,
2017-07-21,20954.6,20510.9,,,,
2017-07-24,21295.8,20651.4,,,,
2017-07-25,21456.4,20791.9,,,,
2017-07-26,21476.4,20932.4,,,,
2017-07-27,21657.0,21125.1,,,,
2017-07-28,21777.4,21366.0,,,,
2017-07-31,22219.0,21757.4,,,,
2017-08-01,22640.4,22048.4,,,,
2017-08-02,23001.8,22239.1,,,,
2017-08-03,23202.6,22429.8,,,,
2017-08-04,23182.6,22480.0,21495.45,,,
2017-08-07,22801.2,22510.1,21580.75,,,
2017-08-08,22520.2,22580.3,21686.1,,,
2017-08-09,22279.2,22640.5,21786.45,,,
2017-08-10,22038.2,22620.4,21872.75,,,
2017-08-11,22018.0,22600.3,21983.15,,,
2017-08-14,22118.4,22459.8,22108.6,,,
2017-08-16,22259.0,22389.6,22219.0,,,
2017-08-17,22500.0,22389.6,22314.35,,,
2017-08-18,22700.8,22369.5,22399.65,,,
2017-08-21,22861.4,22439.7,22459.85,,,
2017-08-22,22961.6,22540.0,22525.05,,,
2017-08-23,22981.6,22620.3,22600.3,,,
2017-08-24,23061.8,22780.9,22710.7,,,
2017-08-25,23222.4,22961.6,22791.0,,,
2017-08-28,23383.0,23122.2,22861.25,,,
2017-08-29,23523.6,23242.6,22851.2,,,
2017-08-30,23804.6,23393.1,22891.35,,,
2017-08-31,24065.6,23563.7,22976.65,,,
2017-09-01,24246.2,23734.3,23051.9,,,
2017-09-04,24306.4,23844.7,23142.2,,,
2017-09-05,24567.2,24045.4,23292.7,,,
2017-09-06,24808.0,24306.3,23463.3,,,
2017-09-07,24968.6,24517.1,23649.0,,,
2017-09-08,25269.6,24757.9,23859.75,,,
2017-09-11,25711.2,25008.8,24065.5,,,
2017-09-12,25912.0,25239.6,24241.1,,,
2017-09-13,25892.0,25350.0,24371.55,,,
2017-09-14,26092.6,25530.6,24547.15,,,
2017-09-15,26333.6,25801.6,24767.95,,,
2017-09-18,26534.4,26122.8,24983.75,,,
2017-09-19,26795.4,26353.7,25199.55,,,
2017-09-20,27397.6,26644.8,25475.55,,,
2017-09-21,27799.0,26945.8,25731.45,,,
2017-09-22,27919.4,27126.5,25942.2,,,
2017-09-25,28039.8,27287.1,26147.95,,,
2017-09-26,28200.4,27497.9,26368.75,,,
2017-09-27,28120.0,27758.8,26554.4,,,
2017-09-28,28019.8,27909.4,26720.0,,,
2017-09-29,28240.6,28080.0,26940.8,,,
2017-10-10,28662.0,28350.9,27236.85,23958.166666666668,,
2017-10-11,29043.2,28621.8,27487.75,24120.4,,
2017-10-12,29806.0,28963.0,27803.9,24317.766666666666,,
2017-10-13,30327.8,29173.8,28059.8,24498.416666666668,,
2017-10-16,30809.4,29525.0,28325.75,24686.083333333332,,
2017-10-17,31150.6,29906.3,28596.7,24881.783333333333,,
2017-10-18,31070.4,30056.8,28777.35,25042.35,,
2017-10-19,30568.6,30187.3,28973.05,25187.866666666665,,
2017-10-20,30468.2,30398.0,29153.7,25338.4,,
2017-10-23,30267.6,30538.5,29309.25,25492.283333333333,,
2017-10-24,29966.6,30558.6,29454.75,25632.783333333333,,
2017-10-25,29866.2,30468.3,29545.05,25756.55,,
2017-10-26,29585.2,30076.9,29519.95,25865.266666666666,,
2017-10-27,29324.2,29896.2,29535.0,25992.383333333335,,
2017-10-30,28962.8,29615.2,29570.1,26101.1,,
2017-10-31,28722.0,29344.3,29625.3,26211.5,,
2017-11-01,28922.8,29394.5,29725.65,26315.2,,
2017-11-02,29324.2,29454.7,29821.0,26422.25,,
2017-11-03,29685.6,29504.9,29951.45,26549.366666666665,,
2017-11-06,30127.2,29545.0,30041.75,26678.15,,
2017-11-07,30528.6,29625.3,30091.95,26823.666666666668,,
2017-11-08,30789.4,29856.1,30162.2,26980.883333333335,,
2017-11-09,30889.8,30107.0,30091.95,27119.716666666667,,
2017-11-10,30889.8,30287.7,30091.95,27266.916666666668,,
2017-11-13,30930.0,30528.6,30071.9,27419.133333333335,,
2017-11-14,30970.2,30749.4,30046.85,27569.683333333334,,
2017-11-15,30829.8,30809.6,30102.05,27706.833333333332,,
2017-11-16,30910.0,30899.9,30177.3,27840.633333333335,,
2017-11-17,31110.6,31000.2,30252.55,27984.466666666667,,
2017-11-20,31351.4,31140.7,30342.85,28140.016666666666,,
2017-11-21,31592.2,31281.2,30453.25,28297.25,,
2017-11-22,31612.2,31221.0,30538.55,28427.716666666667,,
2017-11-23,31411.6,31160.8,30633.9,28543.133333333335,,
2017-11-24,31030.4,31070.5,30679.1,28648.516666666666,,
2017-11-27,30528.6,30940.0,30734.3,28748.866666666665,,
2017-11-28,29906.4,30749.3,30749.35,28840.866666666665,,
2017-11-29,29525.0,30568.6,30689.1,28927.833333333332,,
2017-11-30,29003.0,30207.3,30553.6,28976.333333333332,,
2017-12-01,28681.8,29856.1,30428.15,29033.2,,
2017-12-04,28360.8,29444.7,30292.7,29091.75,,
2017-12-05,28160.0,29033.2,30157.2,29162.0,,
2017-12-06,27879.0,28702.0,29961.5,29203.816666666666,,
2017-12-07,27839.0,28421.0,29790.9,29228.916666666668,,
2017-12-08,27778.8,28230.3,29650.4,29267.383333333335,,
2017-12-11,27798.8,28079.8,29509.9,29302.516666666666,,
2017-12-12,27819.0,27989.5,29369.4,29337.65,,
2017-12-13,27939.6,27909.3,29238.95,29372.783333333333,,
2017-12-14,28280.8,28059.9,29133.6,29427.983333333334,,
2017-12-15,28441.4,28110.1,28983.1,29463.116666666665,,
2017-12-18,28220.6,28009.7,28727.2,29459.766666666666,,
2017-12-19,27999.8,27909.4,28471.3,29459.766666666666,,
2017-12-20,27698.6,27819.1,28260.55,29448.05,,
2017-12-21,27096.4,27688.6,28054.8,29402.883333333335,,
2017-12-22,26574.4,27507.9,27869.1,29361.066666666666,,
2017-12-26,26233.2,27226.9,27653.35,29319.25,,
2017-12-27,26393.8,27196.8,27593.15,29322.6,,
2017-12-28,26534.4,27116.5,27512.9,29309.216666666667,,
2018-01-02,27237.0,27166.7,27613.3,29329.3,,
2018-01-03,28019.8,27297.1,27703.6,29361.066666666666,,
2018-01-04,29224.0,27728.6,27869.15,29401.2,,
2018-01-05,29886.2,28140.0,28024.7,29424.616666666665,26691.391666666666,
2018-01-08,30789.4,28661.9,28240.5,29454.733333333334,26787.566666666666,
2018-01-09,31210.8,29223.9,28456.25,29446.366666666665,26882.066666666666,
2018-01-10,31231.0,29625.4,28566.65,29436.333333333332,26967.375,
2018-01-11,30608.8,29916.4,28571.65,29384.483333333334,27035.283333333333,
2018-01-12,29986.6,29936.4,28566.6,29327.616666666665,27104.7,
2018-01-15,29404.4,30096.9,28606.7,29315.9,27179.125,
2018-01-16,28742.0,29976.4,28571.55,29294.15,27241.008333333335,
2018-01-17,28119.8,29675.4,28486.25,29240.633333333335,27289.516666666666,
2018-01-18,27919.2,29264.0,28496.3,29188.783333333333,27340.533333333333,
2018-01-19,27818.8,28902.7,28521.35,29148.633333333335,27390.708333333332,
2018-01-22,27437.6,28421.0,28541.45,29113.516666666666,27435.033333333333,
2018-01-23,27277.0,28009.5,28616.7,29101.8,27483.533333333333,
2018-01-24,27317.0,27718.4,28671.9,29073.366666666665,27532.875,
2018-01-25,27296.8,27608.0,28762.2,29049.95,27575.525,
2018-01-26,27377.2,27598.0,28767.2,29036.566666666666,27624.033333333333,
2018-01-29,27517.6,27477.6,28787.25,28996.416666666668,27655.808333333334,
2018-01-30,27598.0,27437.5,28706.95,28957.95,27690.1,
2018-01-31,27798.8,27557.9,28616.65,28916.133333333335,27732.75,
2018-02-01,28059.8,27678.3,28471.15,28877.666666666668,27777.908333333333,
2018-02-02,28200.2,27788.7,28345.7,28842.533333333333,27833.1,
